variant,bin,bin_lower,bin_upper,count,mean_predicted,observed_fraud_rate,gap
B1-card_core_addr1,5,0.25,0.30000000000000004,133,0.27475927068807127,0.3609022556390977,-0.08614298495102646
B1-card_core_addr1,6,0.30000000000000004,0.35000000000000003,109,0.32612857905535264,0.3211009174311927,0.0050276616241599625
B1-card_core_addr1,7,0.35000000000000003,0.4,92,0.3731554480592424,0.4673913043478261,-0.09423585628858372
B1-card_core_addr1,8,0.4,0.45,70,0.4261967029402216,0.5,-0.0738032970597784
B1-card_core_addr1,9,0.45,0.5,78,0.4766834132854768,0.46153846153846156,0.015144951747015245
B1-card_core_addr1,10,0.5,0.55,60,0.5287789627165982,0.6666666666666666,-0.13788770395006844
B1-card_core_addr1,11,0.55,0.6000000000000001,68,0.5750527757857817,0.6470588235294118,-0.07200604774363006
B1-card_core_addr1,12,0.6000000000000001,0.65,68,0.624798200213119,0.6470588235294118,-0.02226062331629275
B1-card_core_addr1,13,0.65,0.7000000000000001,65,0.6757950315275127,0.6461538461538462,0.029641185373666556
B1-card_core_addr1,14,0.7000000000000001,0.75,67,0.7265704461749295,0.6417910447761194,0.08477940139881013
B1-card_core_addr1,15,0.75,0.8,65,0.7723032162103743,0.676923076923077,0.09538013928729738
B1-card_core_addr1,16,0.8,0.8500000000000001,69,0.8254849879374753,0.782608695652174,0.04287629228530132
B1-card_core_addr1,17,0.8500000000000001,0.9,85,0.8772605574303924,0.8823529411764706,-0.005092383746078122
B1-card_core_addr1,18,0.9,0.9500000000000001,135,0.9258762165717445,0.8814814814814815,0.04439473509026293
B1-card_core_addr1,19,0.9500000000000001,1.0,889,0.9909292408578445,0.9471316085489314,0.04379763230891309
B1-card1,0,0.0,0.05,84859,0.002248907628403314,0.012573798889923285,-0.010324891261519972
B1-card1,1,0.05,0.1,895,0.07022515584316313,0.18659217877094972,-0.11636702292778658
B1-card1,2,0.1,0.15000000000000002,435,0.12290361507390606,0.2827586206896552,-0.1598550056157491
B1-card1,3,0.15000000000000002,0.2,195,0.172296239798211,0.3487179487179487,-0.1764217089197377
B1-card1,4,0.2,0.25,159,0.2242985185707107,0.4088050314465409,-0.1845065128758302
B1-card1,5,0.25,0.30000000000000004,131,0.2749855650366147,0.33587786259541985,-0.06089229755880515
B1-card1,6,0.30000000000000004,0.35000000000000003,107,0.32459092263272016,0.42990654205607476,-0.1053156194233546
B1-card1,7,0.35000000000000003,0.4,90,0.37385845959189273,0.4777777777777778,-0.10391931818588507
B1-card1,8,0.4,0.45,81,0.424976020361322,0.5185185185185185,-0.09354249815719651
B1-card1,9,0.45,0.5,64,0.4750036875500411,0.515625,-0.040621312449958924
B1-card1,10,0.5,0.55,48,0.5254796429495118,0.6666666666666666,-0.14118702371715486
B1-card1,11,0.55,0.6000000000000001,49,0.5754552382118314,0.4489795918367347,0.12647564637509673
B1-card1,12,0.6000000000000001,0.65,65,0.6266422555181864,0.6153846153846154,0.011257640133571
B1-card1,13,0.65,0.7000000000000001,62,0.6767354397560473,0.7419354838709677,-0.06520004411492042
B1-card1,14,0.7000000000000001,0.75,68,0.7269906054785932,0.6911764705882353,0.035814134890357896
B1-card1,15,0.75,0.8,66,0.7744579847425003,0.6818181818181818,0.0926398029243185
B1-card1,16,0.8,0.8500000000000001,65,0.8248297668201807,0.7384615384615385,0.08636822835864222
B1-card1,17,0.8500000000000001,0.9,99,0.8777417728465754,0.8383838383838383,0.039357934462737054
B1-card1,18,0.9,0.9500000000000001,131,0.9263100852684361,0.8854961832061069,0.040813902062329155
B1-card1,19,0.9500000000000001,1.0,912,0.9912054760150237,0.9484649122807017,0.042740563734322
B1-card1_card2,0,0.0,0.05,84900,0.002175670198656827,0.012779740871613663,-0.010604070672956836
B1-card1_card2,1,0.05,0.1,941,0.07058711319361871,0.17321997874601489,-0.10263286555239617
B1-card1_card2,2,0.1,0.15000000000000002,402,0.12200585866689824,0.3009950248756219,-0.17898916620872368
B1-card1_card2,3,0.15000000000000002,0.2,224,0.1762525760955437,0.3125,-0.1362474239044563
B1-card1_card2,4,0.2,0.25,139,0.22377993794694626,0.4460431654676259,-0.22226322752067965
B1-card1_card2,5,0.25,0.30000000000000004,111,0.27326442002252993,0.3153153153153153,-0.042050895292785384
B1-card1_card2,6,0.30000000000000004,0.35000000000000003,106,0.32336825891267484,0.5471698113207547,-0.22380155240807986
B1-card1_card2,7,0.35000000000000003,0.4,65,0.3746837602210002,0.5538461538461539,-0.17916239362515368
B1-card1_card2,8,0.4,0.45,80,0.42586387434989204,0.45,-0.024136125650107976
B1-card1_card2,9,0.45,0.5,58,0.47493538100362703,0.46551724137931033,0.009418139624316701
B1-card1_card2,10,0.5,0.55,60,0.5239841036517973,0.55,-0.026015896348202783
B1-card1_card2,11,0.55,0.6000000000000001,60,0.5761269716509061,0.65,-0.07387302834909393
B1-card1_card2,12,0.6000000000000001,0.65,53,0.6245636859674132,0.5849056603773585,0.03965802559005471
B1-card1_card2,13,0.65,0.7000000000000001,58,0.6753339645073259,0.7241379310344828,-0.048803966527156906
B1-card1_card2,14,0.7000000000000001,0.75,62,0.7214954286737217,0.7419354838709677,-0.02044005519724601
B1-card1_card2,15,0.75,0.8,77,0.7749176602197464,0.7402597402597403,0.03465791996000611
B1-card1_card2,16,0.8,0.8500000000000001,71,0.825891688385251,0.8169014084507042,0.008990279934546708
B1-card1_card2,17,0.8500000000000001,0.9,81,0.8735202014880111,0.8641975308641975,0.009322670623813645
B1-card1_card2,18,0.9,0.9500000000000001,144,0.9278161301435001,0.8958333333333334,0.03198279681016669
B1-card1_card2,19,0.9500000000000001,1.0,889,0.9908833580380888,0.9493813273340832,0.0415020307040056
G1-card1,0,0.0,0.05,84450,0.0023861084786144797,0.012682060390763765,-0.010295951912149286
G1-card1,1,0.05,0.1,1083,0.07002296993579296,0.17636195752539244,-0.10633898758959948
G1-card1,2,0.1,0.15000000000000002,446,0.12231773246911047,0.2062780269058296,-0.08396029443671914
G1-card1,3,0.15000000000000002,0.2,278,0.17475167673235048,0.2805755395683453,-0.10582386283599482
G1-card1,4,0.2,0.25,181,0.2227090777752282,0.30939226519337015,-0.08668318741814196
